term,estimate,std.error,statistic,p.value
(Intercept),3.9086230924809087,0.06739058947822339,57.99953855195081,1.442459e-317
is_loft,0.1379231795848729,0.05560649958577348,2.4803427766951103,0.013294339227367006
log(parking_lots),0.26925675072265465,0.03841946403322443,7.008342190557538,4.5100425893827494e-12
log(num_bedrooms),-0.0882416447085321,0.043536479859740365,-2.026843809899571,0.04295151713202546
type_crmnocnok,-1.1273903897603306,0.05709901443834406,-19.744480720900974,3.3161857174383177e-73
type_crmother,-0.17457405970042092,0.02477535406004058,-7.046279107751931,3.482286380162246e-12
desc_has_roof,0.1498076217671415,0.0241886518058423,6.193301841277419,8.690230090689735e-10
deluxe_locality,0.18186491105454394,0.049644442649186014,3.6633488332157933,2.624114494310194e-4
log(m2),-0.3074901476462818,0.036491607179197166,-8.426325158448304,1.27560379832436e-16
main_has_new,0.13354279173329547,0.0768200992420285,1.7383834836317658,0.08246057422689351
