term,estimate,std.error,statistic,p.value
(Intercept),65.2011994486753,3.279477607980813,19.881580923133647,4.771860824200395e-74
is_loft,8.877005828818127,2.6427335702842236,3.3590241288921963,8.126351492259304e-4
parking_lots,8.806417275332675,1.24016895670369,7.100981868421956,2.3932466387854724e-12
num_bedrooms,-3.855050836426722,0.9936449306467697,-3.8797066412017474,1.1164295253686723e-4
type_crmnocnok,-34.146298455265125,2.712136125939402,-12.590186063554563,8.925188504635473e-34
type_crmother,-8.989186624793614,1.1780629251140153,-7.630480879383945,5.5779530671848075e-14
desc_has_roof,5.306176305236689,1.1547145797357379,4.595227598538709,4.8927665726719956e-6
main_has_new,7.337047148021115,3.654891901973842,2.0074594118799265,0.04497775147120113
deluxe_locality,9.553282259372837,2.366067945769491,4.037619577431841,5.8254258093251694e-5
m2,-12.807083330016978,1.4187966786543769,-9.026722096758462,9.313281543042823e-19
