term,estimate,std.error,statistic,p.value
(Intercept),4.113568299628729,0.06949372869391933,59.193374379818884,0
is_loft,0.1365597438699108,0.05600081223201909,2.43853148600997,0.014925593079881968
parking_lots,0.1748835481706737,0.026279784561435388,6.654679674479099,4.7407262045760585e-11
num_bedrooms,-0.06661709892538409,0.02105582031126309,-3.1638329896721977,0.0016055117735360267
type_crmnocnok,-1.1170462179356393,0.057471486208151276,-19.436529166653198,2.5279822529685817e-71
type_crmother,-0.1795111334404008,0.024963727486050687,-7.190878587370761,1.2851578995700837e-12
desc_has_roof,0.15417625116371378,0.024468964669185793,6.300889851619701,4.483093034129201e-10
main_has_new,0.11816933914573595,0.07744894053347627,1.525770892820139,0.12739290497144923
deluxe_locality,0.1646149089370952,0.05013813282168506,3.2832277484792614,0.001062929414669333
m2,-0.25435553742077877,0.030064993039835987,-8.460189466325795,9.737882003078415e-17
